filename,copy,batching method,num. seen alphabets in training,seen_transform.,new_transform,alphabets
MLC_batchrand_dallstudy1_perm20_nep20_matched.pt,False,random,20,0.63,0.11,seen
MLC_batchrand_dallstudy1_perm20_nep20_matched.pt,False,random,20,0.2574336142470981,0.042107287060180736,new
MLC_batchbyboth_dallstudy1_perm20_nep20_matched_rep4.pt,False,transformation_alphabet,20,0.614,0.103,seen
MLC_batchbyboth_dallstudy1_perm20_nep20_matched_rep4.pt,False,transformation_alphabet,20,0.2676101128955319,0.04056912132282253,new
MLC_batchbytrans_dallstudy1_perm20_nep20_matched_rep3.pt,False,transformation,20,0.648,0.124,seen
MLC_batchbytrans_dallstudy1_perm20_nep20_matched_rep3.pt,False,transformation,20,0.23151534425186834,0.027302441838108055,new
MLC_batchbytrans_dallstudy1_perm20_nep20_matched_rep2.pt,False,transformation,20,0.651,0.147,seen
MLC_batchbytrans_dallstudy1_perm20_nep20_matched_rep2.pt,False,transformation,20,0.24137382731753856,0.035570082676408384,new
MLC_batchrand_dallstudy1_perm20_nep20_matched_rep2.pt,False,random,20,0.61,0.079,seen
MLC_batchrand_dallstudy1_perm20_nep20_matched_rep2.pt,False,random,20,0.26458896485927813,0.026533358969428957,new
MLC_batchbyalph_dallstudy1_perm20_nep20_matched_rep2.pt,False,alphabet,20,0.561,0.098,seen
MLC_batchbyalph_dallstudy1_perm20_nep20_matched_rep2.pt,False,alphabet,20,0.278263634918111,0.029994231878484906,new
MLC_batchrand_dallstudy1_perm20_nep20_matched_rep3.pt,False,random,20,0.551,0.064,seen
MLC_batchrand_dallstudy1_perm20_nep20_matched_rep3.pt,False,random,20,0.2741294323421848,0.02095750817150548,new
MLC_batchbytrans_dallstudy1_perm20_nep20_matched_rep4.pt,False,transformation,20,0.664,0.175,seen
MLC_batchbytrans_dallstudy1_perm20_nep20_matched_rep4.pt,False,transformation,20,0.22785816505008746,0.03826187271678523,new
MLC_batchbyalph_dallstudy1_perm20_nep20_matched_rep3.pt,False,alphabet,20,0.556,0.093,seen
MLC_batchbyalph_dallstudy1_perm20_nep20_matched_rep3.pt,False,alphabet,20,0.27921768166640165,0.03537781195923861,new
MLC_batchbyboth_dallstudy1_perm20_nep20_matched_rep2.pt,False,transformation_alphabet,20,0.591,0.061,seen
MLC_batchbyboth_dallstudy1_perm20_nep20_matched_rep2.pt,False,transformation_alphabet,20,0.28033073620607407,0.021149778888675256,new
MLC_batchbyboth_dallstudy1_perm20_nep20_matched_rep1.pt,False,transformation_alphabet,20,0.554,0.094,seen
MLC_batchbyboth_dallstudy1_perm20_nep20_matched_rep1.pt,False,transformation_alphabet,20,0.27063126093178563,0.03172466833301288,new
MLC_batchbyboth_dallstudy1_perm20_nep20_matched_rep3.pt,False,transformation_alphabet,20,0.538,0.055,seen
MLC_batchbyboth_dallstudy1_perm20_nep20_matched_rep3.pt,False,transformation_alphabet,20,0.2588646843695341,0.020380696019996154,new
MLC_batchbyalph_dallstudy1_perm20_nep20_matched_rep4.pt,False,alphabet,20,0.556,0.103,seen
MLC_batchbyalph_dallstudy1_perm20_nep20_matched_rep4.pt,False,alphabet,20,0.28001272062331056,0.03864641415112478,new
MLC_batchrand_dallstudy1_perm20_nep20_matched_rep1.pt,False,random,20,0.542,0.069,seen
MLC_batchrand_dallstudy1_perm20_nep20_matched_rep1.pt,False,random,20,0.271108284305931,0.024226110363391656,new
MLC_batchbyalph_dallstudy1_perm20_nep20_matched.pt,False,alphabet,20,0.587,0.099,seen
MLC_batchbyalph_dallstudy1_perm20_nep20_matched.pt,False,alphabet,20,0.27699157258705676,0.03383964622188041,new
MLC_batchbyboth_dallstudy1_perm20_nep20_matched.pt,False,transformation_alphabet,20,0.581,0.069,seen
MLC_batchbyboth_dallstudy1_perm20_nep20_matched.pt,False,transformation_alphabet,20,0.2819208141198919,0.021534320323014805,new
MLC_batchrand_dallstudy1_perm20_nep20_matched_rep4.pt,False,random,20,0.93,0.149,seen
MLC_batchrand_dallstudy1_perm20_nep20_matched_rep4.pt,False,random,20,0.3188106217204643,0.04864449144395309,new
MLC_batchbyalph_dallstudy1_perm20_nep20_matched_rep1.pt,False,alphabet,20,0.553,0.116,seen
MLC_batchbyalph_dallstudy1_perm20_nep20_matched_rep1.pt,False,alphabet,20,0.27778661154396567,0.04460680638338781,new
MLC_batchbytrans_dallstudy1_perm20_nep20_matched_rep1.pt,False,transformation,20,0.622,0.113,seen
MLC_batchbytrans_dallstudy1_perm20_nep20_matched_rep1.pt,False,transformation,20,0.23421847670535856,0.02634108825225918,new
MLC_batchbytrans_dallstudy1_perm20_nep20_matched.pt,False,transformation,20,0.638,0.122,seen
MLC_batchbytrans_dallstudy1_perm20_nep20_matched.pt,False,transformation,20,0.23151534425186834,0.03210920976735243,new
MLC_batchalph_dallstudy1_copy_perm20_nep20_rep1.pt,True,alphabet,20,0.912,0.109,seen
MLC_batchalph_dallstudy1_copy_perm20_nep20_rep1.pt,True,alphabet,20,0.3401176657656225,0.04345318208036916,new
MLC_batchrand_dallstudy1_copy_perm20_nep20_rep1.pt,True,random,20,0.94,0.104,seen
MLC_batchrand_dallstudy1_copy_perm20_nep20_rep1.pt,True,random,20,0.31642550484973764,0.03999230917131321,new
MLC_batchtrans_dallstudy1_copy_perm20_nep20_rep2.pt,True,transformation,20,0.978,0.118,seen
MLC_batchtrans_dallstudy1_copy_perm20_nep20_rep2.pt,True,transformation,20,0.23437748449674034,0.031147856181503557,new
MLC_batchbyboth_dallstudy1_copy_perm20_nep20.pt,True,transformation_alphabet,20,0.873,0.126,seen
MLC_batchbyboth_dallstudy1_copy_perm20_nep20.pt,True,transformation_alphabet,20,0.3765304499920496,0.05518169582772544,new
MLC_batchbyboth_dallstudy1_copy_perm20_nep20_rep1.pt,True,transformation_alphabet,20,0.898,0.095,seen
MLC_batchbyboth_dallstudy1_copy_perm20_nep20_rep1.pt,True,transformation_alphabet,20,0.3337573541103514,0.03941549701980388,new
MLC_batchalph_dallstudy1_copy_perm20_nep20_rep3.pt,True,alphabet,20,0.903,0.103,seen
MLC_batchalph_dallstudy1_copy_perm20_nep20_rep3.pt,True,alphabet,20,0.3280330736206074,0.036146894827917705,new
MLC_batchrand_dallstudy1_copy_perm20_nep20_rep2.pt,True,random,20,0.921,0.104,seen
MLC_batchrand_dallstudy1_copy_perm20_nep20_rep2.pt,True,random,20,0.3291461281602798,0.03999230917131321,new
MLC_batchrand_dallstudy1_copy_perm20_nep20.pt,True,random,20,0.943,0.1,seen
MLC_batchrand_dallstudy1_copy_perm20_nep20.pt,True,random,20,0.3065670217840674,0.035570082676408384,new
MLC_batchrand_dallstudy1_copy_perm20_nep20_rep4.pt,True,random,20,0.902,0.1,seen
MLC_batchrand_dallstudy1_copy_perm20_nep20_rep4.pt,True,random,20,0.35888058514867227,0.04114593347433186,new
MLC_batchalph_dallstudy1_copy_perm20_nep20.pt,True,alphabet,20,0.898,0.095,seen
